,company,date,usage
234,JUMP,2019-07-02,91
235,JUMP,2019-07-03,143
236,JUMP,2019-07-04,270
237,JUMP,2019-07-05,335
238,JUMP,2019-07-06,164
239,JUMP,2019-07-08,86
240,JUMP,2019-07-09,53
241,JUMP,2019-07-10,38
242,JUMP,2019-07-11,54
243,JUMP,2019-07-12,177
244,JUMP,2019-07-13,313
245,JUMP,2019-07-14,239
246,JUMP,2019-07-15,63
247,JUMP,2019-07-16,51
248,JUMP,2019-07-17,61
249,JUMP,2019-07-18,102
250,JUMP,2019-07-19,105
251,JUMP,2019-07-20,194
252,JUMP,2019-07-21,162
253,JUMP,2019-07-22,154
254,JUMP,2019-07-23,82
255,JUMP,2019-07-24,54
256,JUMP,2019-07-25,114
257,JUMP,2019-07-26,224
258,JUMP,2019-07-27,283
259,JUMP,2019-07-28,163
260,JUMP,2019-07-29,107
261,JUMP,2019-07-30,87
262,JUMP,2019-07-31,78
263,JUMP,2019-08-01,7
264,Lime,2019-05-02,4289
265,Lime,2019-05-03,3095
266,Lime,2019-05-04,5459
267,Lime,2019-05-05,3850
268,Lime,2019-05-06,3221
269,Lime,2019-05-07,2861
270,Lime,2019-05-08,2682
271,Lime,2019-05-09,2367
272,Lime,2019-05-10,3365
273,Lime,2019-05-11,3777
274,Lime,2019-05-12,3354
275,Lime,2019-05-13,2506
276,Lime,2019-05-14,2585
277,Lime,2019-05-15,1470
278,Lime,2019-05-16,1361
279,Lime,2019-05-17,5791
280,Lime,2019-05-18,5575
281,Lime,2019-05-19,3850
282,Lime,2019-05-20,2545
283,Lime,2019-05-21,2174
284,Lime,2019-05-22,2523
285,Lime,2019-05-23,2627
286,Lime,2019-05-24,4112
287,Lime,2019-05-25,6983
288,Lime,2019-05-26,5903
289,Lime,2019-05-27,3663
290,Lime,2019-05-28,2521
291,Lime,2019-05-29,1952
292,Lime,2019-05-30,2325
293,Lime,2019-05-31,3394
294,Lime,2019-06-01,5122
295,Lime,2019-06-02,5063
296,Lime,2019-06-03,2722
297,Lime,2019-06-04,2703
298,Lime,2019-06-05,3064
299,Lime,2019-06-06,3660
300,Lime,2019-06-07,2899
301,Lime,2019-06-08,5696
302,Lime,2019-06-09,3282
303,Lime,2019-06-10,1961
304,Lime,2019-06-11,1777
305,Lime,2019-06-12,1795
306,Lime,2019-06-13,2016
307,Lime,2019-06-14,3051
308,Lime,2019-06-15,3856
309,Lime,2019-06-16,3186
310,Lime,2019-06-17,2305
311,Lime,2019-06-18,1601
312,Lime,2019-06-19,2201
313,Lime,2019-06-20,1726
314,Lime,2019-06-21,3729
315,Lime,2019-06-22,3758
316,Lime,2019-06-23,4235
317,Lime,2019-06-24,1603
318,Lime,2019-06-25,1983
319,Lime,2019-06-26,2001
320,Lime,2019-06-27,1666
321,Lime,2019-06-28,2566
322,Lime,2019-06-29,2228
323,Lime,2019-06-30,1639
324,Lime,2019-07-01,1100
325,Lime,2019-07-02,949
326,Lime,2019-07-03,989
327,Lime,2019-07-04,1545
328,Lime,2019-07-05,1780
329,Lime,2019-07-06,1743
330,Lime,2019-07-07,868
331,Lime,2019-07-08,787
332,Lime,2019-07-09,695
333,Lime,2019-07-10,673
334,Lime,2019-07-11,947
335,Lime,2019-07-12,1238
336,Lime,2019-07-13,1759
337,Lime,2019-07-14,1523
338,Lime,2019-07-15,981
339,Lime,2019-07-16,929
340,Lime,2019-07-17,995
341,Lime,2019-07-18,1087
342,Lime,2019-07-19,1581
343,Lime,2019-07-20,1905
344,Lime,2019-07-21,1418
